id	Domain	Kingdom	Subkingdom	Infrakingdom	Phylum	Subphylum	Infraphylum	Superclass	Class	Subclass	Superorder	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Subspecies	Variety	Forma	valid_name
160524	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	Chaetoceros wighamii	NA	NA	NA	Chaetoceros wighamii
118051	Eucaryota	Protozoa	Protozoa incertae sedis	NA	NA	NA	NA	NA	Ebriophyceae	NA	NA	Ebriales	NA	Ebriaceae	NA	Ebria	NA	Ebria tripartita	NA	NA	NA	Ebria tripartita
109475	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Gymnodiniales	NA	Gymnodiniaceae	NA	Gymnodinium	NA	NA	NA	NA	NA	Gymnodinium
1368615	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Torodiniales	NA	Kapelodiniaceae	NA	Kapelodinium	NA	Kapelodinium vestifici	NA	NA	NA	Kapelodinium vestifici
149142	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Naviculales	NA	Naviculaceae	NA	Navicula	NA	NA	NA	NA	NA	Navicula
149308	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Thalassiosiranae	Thalassiosirales	NA	Thalassiosiraceae	NA	Thalassiosira	NA	Thalassiosira levanderi	NA	NA	NA	Thalassiosira levanderi
609460	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Nostocophycideae	NA	Nostocales	NA	Nostocaceae	NA	Aphanizomenon	NA	Aphanizomenon flosaquae	NA	NA	NA	Aphanizomenon flosaquae
163063	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	Chaetoceros holsaticus	NA	NA	NA	Chaetoceros holsaticus
635472	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Melosirales	NA	Melosiraceae	NA	Melosira	NA	Melosira discigera	NA	NA	NA	Melosira discigera
160591	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Selenastraceae	NA	Monoraphidium	NA	Monoraphidium contortum	NA	NA	NA	Monoraphidium contortum
248141	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Oocystis	NA	Oocystis borgei	NA	NA	NA	Oocystis borgei
110245	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Protoperidiniaceae	NA	Protoperidinium	NA	Protoperidinium pellucidum	NA	NA	NA	Protoperidinium pellucidum
146644	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Merismopediaceae	Gomphosphaerioideae	Snowella	NA	NA	NA	NA	NA	Snowella
177138	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Synechococcaceae	Aphanothecoideae	Lemmermanniella	NA	NA	NA	NA	NA	Lemmermanniella
146617	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Oscillatoriophycideae	NA	Chroococcales	NA	Gomphosphaeriaceae	NA	Woronichinia	NA	NA	NA	NA	NA	Woronichinia
17657	Eucaryota	Protozoa	Eozoa	Euglenozoa	Euglenozoa	NA	NA	NA	Euglenoidea	Euglenia	NA	Eutreptiida	NA	Eutreptiaceae	NA	Eutreptiella	NA	NA	NA	NA	NA	Eutreptiella
110208	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Protoperidiniaceae	NA	Protoperidinium	NA	Protoperidinium bipes	NA	NA	NA	Protoperidinium bipes
134529	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	NA	NA	NA	Pyramimonadophyceae	NA	NA	Pyramimonadales	NA	Pyramimonadaceae	NA	Pyramimonas	NA	NA	NA	NA	NA	Pyramimonas
149297	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	Chaetoceros ceratosporus	NA	NA	NA	Chaetoceros ceratosporus
109603	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Dinophysiales	NA	Dinophysaceae	NA	Dinophysis	NA	Dinophysis acuminata	NA	NA	NA	Dinophysis acuminata
5	Eucaryota	Protozoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Protozoa
163624	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Lithodesmiophycanae	Lithodesmiales	NA	Lithodesmiaceae	NA	Pauliella	NA	Pauliella taeniata	NA	NA	NA	Pauliella taeniata
109549	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Peridiniaceae	NA	Peridinium	NA	NA	NA	NA	NA	Peridinium
110210	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Protoperidiniaceae	NA	Protoperidinium	NA	Protoperidinium brevipes	NA	NA	NA	Protoperidinium brevipes
149028	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Fragilaria	NA	NA	NA	NA	NA	Fragilaria
175400	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Bacillariales	NA	Bacillariaceae	NA	Nitzschia	NA	Nitzschia frigida	NA	NA	NA	Nitzschia frigida
106310	Eucaryota	Chromista	Hacrobia	NA	Cryptophyta	NA	NA	NA	Cryptophyceae	NA	NA	Pyrenomonadales	NA	Chroomonadaceae	NA	Hemiselmis	NA	Hemiselmis virescens	NA	NA	NA	Hemiselmis virescens
110152	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Heterocapsaceae	NA	Heterocapsa	NA	Heterocapsa rotundata	NA	NA	NA	Heterocapsa rotundata
172602	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Licmophorales	NA	Licmophoraceae	NA	Licmophora	NA	Licmophora communis	NA	NA	NA	Licmophora communis
149343	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Licmophorales	NA	Licmophoraceae	NA	Licmophora	NA	Licmophora gracilis	NA	NA	NA	Licmophora gracilis
163646	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Surirellales	NA	Entomoneidaceae	NA	Entomoneis	NA	Entomoneis paludosa	NA	NA	NA	Entomoneis paludosa
149489	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Naviculales	NA	Naviculaceae	NA	Caloneis	NA	Caloneis amphisbaena	NA	NA	NA	Caloneis amphisbaena
148989	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Achnanthales	NA	Cocconeidaceae	NA	Cocconeis	NA	NA	NA	NA	NA	Cocconeis
149150	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Bacillariales	NA	Bacillariaceae	NA	Nitzschia	NA	Nitzschia longissima	NA	NA	NA	Nitzschia longissima
148899	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bacillariophyceae
157061	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Tabularia	NA	Tabularia fasciculata	NA	NA	NA	Tabularia fasciculata
148954	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Asterionella	NA	Asterionella formosa	NA	NA	NA	Asterionella formosa
576237	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Scenedesmaceae	Desmodesmoideae	Desmodesmus	NA	Desmodesmus communis	NA	NA	NA	Desmodesmus communis
612508	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Scenedesmaceae	Desmodesmoideae	Desmodesmus	NA	Desmodesmus opoliensis	NA	NA	NA	Desmodesmus opoliensis
149014	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Diatoma	NA	Diatoma tenuis	NA	NA	NA	Diatoma tenuis
149342	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Licmophorales	NA	Licmophoraceae	NA	Licmophora	NA	NA	NA	NA	NA	Licmophora
149187	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Synedra	NA	Synedra ulna	NA	NA	NA	Synedra ulna
110223	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Protoperidiniaceae	NA	Protoperidinium	NA	Protoperidinium granii	NA	NA	NA	Protoperidinium granii
175794	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Cymbellales	NA	Rhoicospheniaceae	NA	Rhoicosphenia	NA	Rhoicosphenia abbreviata	NA	NA	NA	Rhoicosphenia abbreviata
146230	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Phaeista	Limnista	NA	Chrysophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chrysophyceae
160553	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Phaeista	Limnista	NA	Chrysophyceae	NA	NA	Chromulinales	NA	Dinobryaceae	NA	Dinobryon	NA	Dinobryon faculiferum	NA	NA	NA	Dinobryon faculiferum
162770	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Coscinodiscales	NA	Hemidiscaceae	NA	Actinocyclus	NA	Actinocyclus octonarius	NA	Actinocyclus octonarius var. octonarius	NA	Actinocyclus octonarius var. octonarius
109637	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Dinophysiales	NA	Dinophysaceae	NA	Dinophysis	NA	Dinophysis norvegica	NA	NA	NA	Dinophysis norvegica
110007	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Gonyaulacales	NA	Gonyaulacaceae	NA	Amylax	NA	Amylax triacantha	NA	NA	NA	Amylax triacantha
110045	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Gonyaulacales	NA	Gonyaulacaceae	NA	Gonyaulax	NA	Gonyaulax verior	NA	NA	NA	Gonyaulax verior
109726	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Amphidiniales	NA	Amphidiniaceae	NA	Amphidinium	NA	Amphidinium crassum	NA	NA	NA	Amphidinium crassum
148985	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	NA	NA	NA	NA	Chaetoceros
146677	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Leptolyngbyaceae	Leptolyngbyoideae	Planktolyngbya	NA	NA	NA	NA	NA	Planktolyngbya
248145	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Oocystis	NA	Oocystis submarina	NA	NA	NA	Oocystis submarina
160552	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Phaeista	Limnista	NA	Chrysophyceae	NA	NA	Chromulinales	NA	Dinobryaceae	NA	Dinobryon	NA	Dinobryon balticum	NA	NA	NA	Dinobryon balticum
149033	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Naviculales	NA	Pleurosigmataceae	NA	Gyrosigma	NA	NA	NA	NA	NA	Gyrosigma
156505	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Dinophysiales	NA	Oxyphysaceae	NA	Phalacroma	NA	Phalacroma rotundatum	NA	NA	NA	Phalacroma rotundatum
177590	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Pseudanabaenaceae	Pseudanabaenoideae	Pseudanabaena	NA	Pseudanabaena limnetica	NA	NA	NA	Pseudanabaena limnetica
160599	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Phaeista	Monista	Hypogyristia	Dictyochophyceae	Alophycidae	Actinochrysia	Pedinellales	NA	Pedinellaceae	NA	Pseudopedinella	NA	NA	NA	NA	NA	Pseudopedinella
341285	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	NA	NA	Centrales	NA	NA	NA	NA	NA	NA	NA	NA	NA	Centrales
146585	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Nostocophycideae	NA	Nostocales	NA	Nostocaceae	NA	Anabaena	NA	NA	NA	NA	NA	Anabaena
146558	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Oscillatoriophycideae	NA	Chroococcales	NA	Microcystaceae	NA	Microcystis	NA	Microcystis aeruginosa	NA	NA	NA	Microcystis aeruginosa
146576	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Merismopediaceae	Merismopedioideae	Merismopedia	NA	Merismopedia tenuissima	NA	NA	NA	Merismopedia tenuissima
149046	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Bacillariales	NA	Bacillariaceae	NA	Nitzschia	NA	Nitzschia acicularis	NA	NA	NA	Nitzschia acicularis
110293	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Prorocentrales	NA	Prorocentraceae	NA	Prorocentrum	NA	Prorocentrum balticum	NA	NA	NA	Prorocentrum balticum
248100	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Nostocophycideae	NA	Nostocales	NA	Nostocaceae	NA	Aphanizomenon	NA	Aphanizomenon gracile	NA	NA	NA	Aphanizomenon gracile
156621	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Chaetocerotanae	Chaetocerotanae incertae sedis	NA	Chaetocerotaceae	NA	Chaetoceros	NA	Chaetoceros subtilis	NA	NA	NA	Chaetoceros subtilis
160566	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Nostocophycideae	NA	Nostocales	NA	Nostocaceae	NA	Nodularia	NA	Nodularia spumigena	NA	NA	NA	Nodularia spumigena
625374	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Nostocophycideae	NA	Nostocales	NA	Nostocaceae	NA	Dolichospermum	NA	Dolichospermum lemmermannii	NA	NA	NA	Dolichospermum lemmermannii
146549	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Oscillatoriophycideae	NA	Oscillatoriales	NA	Oscillatoriaceae	NA	Oscillatoria	NA	NA	NA	NA	NA	Oscillatoria
601744	Eucaryota	Chromista	Hacrobia	NA	Cryptophyta	NA	NA	NA	Cryptophyta incertae sedis	NA	NA	NA	NA	Katablepharidaceae	NA	Katablepharis	NA	NA	NA	NA	NA	Katablepharis
162869	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Aulacoseirales	NA	Aulacoseiraceae	NA	Aulacoseira	NA	Aulacoseira islandica	Aulacoseira islandica subsp. helvetica	NA	NA	Aulacoseira islandica subsp. helvetica
177108	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Synechococcaceae	Aphanothecoideae	Cyanodictyon	NA	NA	NA	NA	NA	Cyanodictyon
627627	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Merismopediaceae	Merismopedioideae	Merismopedia	NA	Merismopedia tranquilla	NA	NA	NA	Merismopedia tranquilla
164061	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Hydrodictyaceae	NA	Pediastrum	NA	Pediastrum duplex	NA	NA	NA	Pediastrum duplex
555799	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Lagerheimia	NA	Lagerheimia longiseta	NA	NA	NA	Lagerheimia longiseta
178936	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Oocystis	NA	Oocystis lacustris	NA	NA	NA	Oocystis lacustris
621601	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Hydrodictyaceae	NA	Pseudopediastrum	NA	Pseudopediastrum boryanum	NA	NA	NA	Pseudopediastrum boryanum
177122	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Synechococcophycideae	NA	Synechococcales	NA	Synechococcaceae	Aphanothecoideae	Cyanonephron	NA	Cyanonephron styloides	NA	NA	NA	Cyanonephron styloides
624065	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Bacillariophycidae	Bacillariophycanae	Naviculales	NA	Amphipleuraceae	NA	Halamphora	NA	Halamphora coffeaeformis	NA	NA	NA	Halamphora coffeaeformis
149271	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Coscinodiscales	NA	Coscinodiscaceae	NA	Coscinodiscus	NA	Coscinodiscus granii	NA	NA	NA	Coscinodiscus granii
146618	Procaryota	Bacteria	Gracilicutes	NA	Cyanobacteria	NA	NA	NA	Cyanophyceae	Oscillatoriophycideae	NA	Chroococcales	NA	Gomphosphaeriaceae	NA	Woronichinia	NA	Woronichinia naegeliana	NA	NA	NA	Woronichinia naegeliana
418624	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Fragilariophycidae	Fragilariophycanae	Fragilariales	NA	Fragilariaceae	NA	Diatoma	NA	Diatoma vulgaris	NA	NA	NA	Diatoma vulgaris
118075	Eucaryota	Chromista	Hacrobia	NA	Cryptophyta	NA	NA	NA	Telonemea	NA	NA	Telonemida	NA	NA	NA	Telonema	NA	Telonema subtile	NA	NA	NA	Telonema subtile
418547	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Melosirales	NA	Melosiraceae	NA	Melosira	NA	Melosira moniliformis	NA	NA	NA	Melosira moniliformis
149287	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Rhizosolenianae	Rhizosoleniales	NA	Rhizosoleniaceae	NA	Rhizosolenia	NA	Rhizosolenia minima	NA	NA	NA	Rhizosolenia minima
156636	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Melosirales	NA	Melosiraceae	NA	Melosira	NA	Melosira lineata	NA	NA	NA	Melosira lineata
160592	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Selenastraceae	NA	Monoraphidium	NA	Monoraphidium convolutum	NA	NA	NA	Monoraphidium convolutum
254441	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Oocystis	NA	Oocystis rhomboidea	NA	NA	NA	Oocystis rhomboidea
248126	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Prasiolales	NA	Koliellaceae	NA	Koliella	NA	Koliella longiseta	NA	NA	NA	Koliella longiseta
1346683	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Peridiniaceae	NA	Kryptoperidinium	NA	Kryptoperidinium triquetrum	NA	NA	NA	Kryptoperidinium triquetrum
109540	Eucaryota	Chromista	Harosa	Alveolata	Myzozoa	Dinozoa	Dinoflagellata	NA	Dinophyceae	NA	NA	Peridiniales	NA	Heterocapsaceae	NA	Heterocapsa	NA	NA	NA	NA	NA	Heterocapsa
160561	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Chlorophyceae	NA	NA	Sphaeropleales	NA	Hydrodictyaceae	NA	Pediastrum	NA	NA	NA	NA	NA	Pediastrum
178941	Eucaryota	Plantae	Viridiplantae	NA	Chlorophyta	Chlorophytina	NA	NA	Trebouxiophyceae	NA	NA	Chlorellales	NA	Oocystaceae	NA	Lagerheimia	NA	Lagerheimia subsalsa	NA	NA	NA	Lagerheimia subsalsa
149043	Eucaryota	Chromista	Harosa	Heterokonta	Ochrophyta	Khakista	NA	NA	Bacillariophyceae	Coscinodiscophycidae	Coscinodiscanae	Melosirales	NA	Melosiraceae	NA	Melosira	NA	Melosira varians	NA	NA	NA	Melosira varians
